"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP2Z37_39","P2, Sewerage, waste collection and management services  ","P30","Other transport equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z74_75","P2, Other professional, scientific and tech. activities, veterinary activ.","P25","Fabricated metal products, except machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2,,
"NLD","Netherlands","UP6A","of which: Re-export ","PH","Transportation and storage services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1163,,
"NLD","Netherlands","UP2Z94","P2, Activities of membership organizations   ","PU","Services provided by extraterritorial organisations and bodies","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZD","P2, Electricity, gas, steam and air conditioning supply ","P61","Telecommunications services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,43,,
"NLD","Netherlands","UP2Z95","P2, Repair of computers and personal and household goods","P53","Postal and courier services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2,,
"NLD","Netherlands","UP2ZK","P2, Financial and insurance activities","P33","Repair and installation services of machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,53,,
"NLD","Netherlands","UP2Z80_82","P2, Security, services to buildings and other business support activities","P52","Warehousing and support services for transportation","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,120,,
"NLD","Netherlands","UP2Z79","P2, Travel agency, tour operator, reservation service & related activities","P28","Machinery and equipment n.e.c.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZI","P2, Accommodation and food service activities","P01","Products of agriculture, hunting and related services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,614,,
