"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","PRODUCT","Product","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PO","Public administration and defence services, compulsory S.S. services","RT","Ratio","2019","2019",,,"0","Units",,,3.28125,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P68B","Real estate services excluding imputed rents ","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P72","Scientific research and development services ","RT","Ratio","2019","2019",,,"0","Units",,,27.495407,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P46","Wholesale trade services, except of motor vehicles and motorcycles","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P58","Publishing services","RT","Ratio","2019","2019",,,"0","Units",,,13.088079,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P03","Fish & other fishing products, aquaculture prod., support serv. to fishing","RT","Ratio","2019","2019",,,"0","Units",,,56.303972,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PJ","Information and communication services","RT","Ratio","2019","2019",,,"0","Units",,,2.22945,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P21","Basic pharmaceutical products and pharmaceutical preparations","RT","Ratio","2019","2019",,,"0","Units",,,62.069241,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P68B","Real estate services excluding imputed rents ","RT","Ratio","2019","2019",,,"0","Units",,,0.107431,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P27","Electrical equipment","RT","Ratio","2019","2019",,,"0","Units",,,81.837079,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PO","Public administration and defence services, compulsory S.S. services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P17","Paper and paper products","RT","Ratio","2019","2019",,,"0","Units",,,32.766099,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PF","Constructions and construction works","RT","Ratio","2019","2019",,,"0","Units",,,0.579604,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P19","Coke and refined petroleum products","RT","Ratio","2019","2019",,,"0","Units",,,19.605455,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P27","Electrical equipment","RT","Ratio","2019","2019",,,"0","Units",,,76.175401,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P23","Other non-metallic mineral products","RT","Ratio","2019","2019",,,"0","Units",,,46.888625,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P59_60","Audiovisual and broadcasting services","RT","Ratio","2019","2019",,,"0","Units",,,4.400607,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P25","Fabricated metal products, except machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,87.445887,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P52","Warehousing and support services for transportation","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P53","Postal and courier services ","RT","Ratio","2019","2019",,,"0","Units",,,59.358446,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P29","Motor vehicles, trailers and semi-trailers","RT","Ratio","2019","2019",,,"0","Units",,,127.019161,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P71","Architectural and engineering services, tech. testing & analysis services","RT","Ratio","2019","2019",,,"0","Units",,,6.885759,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P23","Other non-metallic mineral products","RT","Ratio","2019","2019",,,"0","Units",,,54,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P86","Human health services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P52","Warehousing and support services for transportation","RT","Ratio","2019","2019",,,"0","Units",,,30.13263,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P49","Land transport services and transport services via pipelines","RT","Ratio","2019","2019",,,"0","Units",,,5.089059,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PH","Transportation and storage services","RT","Ratio","2019","2019",,,"0","Units",,,11.84921,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PD","Electricity, gas, steam and air conditioning ","RT","Ratio","2019","2019",,,"0","Units",,,5.714286,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P26","Computer, electronic and optical products","RT","Ratio","2019","2019",,,"0","Units",,,67.65543,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P20","Chemicals and chemical products","RT","Ratio","2019","2019",,,"0","Units",,,54.269673,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P79","Travel agency, tour operator & other reservation services & related serv.","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P96","Other personal services","RT","Ratio","2019","2019",,,"0","Units",,,2.272235,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P01","Products of agriculture, hunting and related services","RT","Ratio","2019","2019",,,"0","Units",,,39.60655,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P64","Financial services, except insurance and pension funding","RT","Ratio","2019","2019",,,"0","Units",,,8.64733,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P74_75","Other professional, scientific and tech. services and veterinary services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P03","Fish & other fishing products, aquaculture prod., support serv. to fishing","RT","Ratio","2019","2019",,,"0","Units",,,90.860215,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PA","Products of agriculture, forestry and fishing","RT","Ratio","2019","2019",,,"0","Units",,,50.525442,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P69_70","Legal, accounting, head offices services, management consultancy serv.","RT","Ratio","2019","2019",,,"0","Units",,,29.751706,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P10_12","Food, beverages and tobacco products","RT","Ratio","2019","2019",,,"0","Units",,,46.438874,,
