LOCATION,Country,TRANSACT,Transaction,PRODUCT,Product,FLOW,Flow,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,UP2ZJ,"P2, Information and communication ",BPS,"Other services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,348,,
NLD,Netherlands,UP2Z94,"P2, Activities of membership organizations ",BPTOT,Total product at basic prices (bp),FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2271,,
NLD,Netherlands,UP2ZL,"P2, Real estate activities",BPO,"Public administration and defence services, compulsory S.S. services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,68,,
NLD,Netherlands,UP2Z20,"P2, Manufacture of chemicals and chemical products",BP71,"Architectural, engineering, tech. testing and analysis services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,131,,
NLD,Netherlands,UP2Z68B,"P2, Real estate activities excluding imputed rents",BP73,"Advertising and market research services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,268,,
NLD,Netherlands,UP2Z21,"P2, Manufacture of basic pharmaceutical products and preparations",BP45,"Wholesale and retail trade and repair serv. of motor vehicles & cycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1,,
NLD,Netherlands,UP2Z16,"P2, Manufacture of wood and of products of wood and cork,etc.",BPN,"Administrative and support services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,120,,
NLD,Netherlands,UP2ZM,"P2, Professional, scientific and technical activities",BP52,"Warehousing and support services for transportation, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,144,,
NLD,Netherlands,UP2Z80_82,"P2, Security, services to buildings and other business support activities",BPK,"Financial and insurance services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,150,,
NLD,Netherlands,UP2Z87_88,"P2, Residential care and social work activities",BPB,"Mining and quarrying, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,23,,
NLD,Netherlands,UP2Z68A,"P2, Imputed rents of owner-occupied dwellings",BP30,"Other transport equipment, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z71,"P2, Architectural and engineering activities, technical testing & analysis ",BP10_12,"Food, beverages and tobacco products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,4,,
NLD,Netherlands,UP2Z31_32,"P2, Manufacture of furniture, other manufacturing",BP23,"Other non-metallic mineral products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,84,,
NLD,Netherlands,UP2Z95,"P2, Repair of computers and personal and household goods",BP03,"Fish and aquaculture products, support serv. to fishing, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
